Name,Address,Phone,Website
99 Restaurants,"8675 Clinton Street, New Hartford, NY",(315) 736-9699,www.99restaurants.com
Zaro Restaurants LLC,"1155 Mohawk Street, Utica, NY",(315) 798-8918,
Mac-Clark Restaurants Inc,"Commercial Drive, New Hartford, NY",,
Teddy's Restaurants,"851 Black River Boulevard North, Rome, NY",(315) 336-7839,
A&W Restaurants,"127 Genesee Street, Oneida, NY",(315) 366-0340,
Thurston Restaurants,"147 South Litchfield Street, Frankfort, NY",(315) 894-2240,
A&W Restaurants,"4067 State Route 26, Eaton, NY",(315) 684-9001,
Turning Stone Resort Casino,"5218 Patrick Road, Verona, undefined",(800) 771-7711,www.turningstone.com
Golden Corral Buffet & Grill,"2044 Glenwood Shopping Plaza, Oneida, NY",(315) 557-3555,goldencorralbuffetandgrill.godaddysites.com
Cavarino's Pizzeria & Restaurant,"2907 NY-5, Frankfort, NY",(315) 765-8007,
Red Lobster,"4573 Commercial Drive, New Hartford, NY",(315) 768-6156,www.redlobster.com
Blaze Pizza,"4759 Commercial Drive, New Hartford, NY",(315) 659-1112,blazepizza.com
Little Caesars Pizza,"4976 Commercial Drive, Yorkville, NY",(315) 736-2700,littlecaesars.com
Little Caesars Pizza,"1154 Mohawk Street, Utica, NY",(315) 732-1800,littlecaesars.com
Five Points Public House and Events Center,"623 Columbia Street, Utica, NY",(315) 733-4228,
Feast & Festivities By O'Connors,"8411 Seneca Turnpike, New Hartford, NY",(315) 768-7037,
Michael T's Italian-American Specialties,"8390 Seneca Turnpike, New Hartford, NY",(315) 724-4882,
Tropical Spanish restaurant,,(212) 491-4300,
Business No Longer Operates,,,
Chickenlicious,"9827 River Road, Utica, NY",(315) 790-5281,
Starbucks,"71 North Genesee Street, Utica, NY",(315) 930-0484,www.starbucks.ca
Chesterfield's Tavolo,"131 N Genesee Street, Utica, NY",(315) 732-9356,
Ancora!,"261 Genesee Street, Utica, NY",(315) 724-4815,
Starbucks,"4759 Commercial Drive, New Hartford, NY",(315) 709-7464,www.starbucks.com
WP Wine & Liquor,,(347) 749-2341,
Texas Roadhouse,"4511 Commercial Drive, New Hartford, NY",(315) 736-2958,www.texasroadhouse.com
Ra'Ge' Lounge & Restaurant,"1426 Lenox Avenue, Utica, NY",(315) 765-8000,
Minar Fine Indian Cuisine,"609 French Road, New Hartford, NY",(315) 797-9918,uticaminar.com
Starbucks,"5365 New York 233, Westmoreland, NY",(315) 853-3605,www.starbucks.com
sweetFrog,"8643 Clinton Street, New Hartford, NY",(315) 507-4093,www.sweetfrog.com
Jersey Mike's Subs,"4759 Commercial Drive, New Hartford, NY",(315) 765-8044,www.jerseymikes.com
McGill's Whiskey Tavern and Grill,"2284 Highway 5, Utica, NY",(315) 507-2512,
Little Caesars Pizza,"140 Black River Boulevard, Rome, NY",(315) 281-0888,littlecaesars.com
Bento Sushi,"801 Cypress Street, Rome, NY",(866) 337-8744,
AeroMed Technologies,"1821 Broad Street, Utica, NY",(518) 843-3500,aeromed.com
Copperccino's,"254 West Dominick Street, Rome, NY",(315) 356-4760,copperccinos.com
Unico Sabor Latino,"401 West Dominick Street, Rome, NY",(315) 371-0428,unicosaborlatino.com
TS Steakhouse at Turning Stone Resort Casino,"5218 Patrick Road, Verona, undefined",(800) 771-7711,www.turningstone.com
Upstate Tavern at Turning Stone Resort Casino,"5218 Patrick Road, Verona, undefined",(800) 771-7711,www.turningstone.com
Peach Blossom at Turning Stone Resort Casino,"5218 Patrick Road, Verona, undefined",(800) 771-7711,www.turningstone.com
Seasons Harvest at Turning Stone Resort Casino,"5218 Patrick Road, Verona, undefined",(800) 771-7711,www.turningstone.com
Wildflowers at Turning Stone Resort Casino,"5218 Patrick Road, Verona, undefined",(800) 771-7711,www.turningstone.com
Tin Rooster at Turning Stone Resort Casino,"5218 Patrick Road, Verona, undefined",(800) 771-7711,www.turningstone.com
Pino Bianco at Turning Stone Resort Casino,"5218 Patrick Road, Verona, undefined",(800) 771-7711,www.turningstone.com
Emerald Restaurant at Turning Stone Resort Casino,"5218 Patrick Road, Verona, undefined",(800) 771-7711,turningstone.com
Little Caesars Pizza,"12 Columbia Street, Mohawk, NY",(315) 717-0000,littlecaesars.com
The Gig at Turning Stone Resort Casino,"5218 Patrick Road, Verona, undefined",(315) 361-8177,www.turningstone.com
Lava Nightclub at Turning Stone Resort Casino,"5218 Patrick Road, Verona, undefined",(315) 361-8177,turningstone.com
7 Kitchens,"5218 Patrick Road, Verona, undefined",(800) 771-7711,www.turningstone.com
Turquoise Tiger at Turning Stone Resort Casino,"5218 Patrick Road, Verona, undefined",(315) 361-8177,www.turningstone.com
Remsen General Store,"9696 Main Street, Remsen, NY",(315) 520-5732,remsengeneralstore.com
Red Door,"661 US-20, West Winfield, NY",(315) 822-3493,reddoorww.com
Knuckleheads Brewhouse,"7362 East Main Street, Westmoreland, NY",(315) 853-1351,
Little Caesars Pizza,"506 Lenox Avenue, Oneida, NY",(315) 363-9383,littlecaesars.com
Lamplighter Lounge 1912 Restaurant,"102 Lafayette Street, Utica, NY",(315) 724-7829,
Cafe Crete LLC,"601 French Road, New Hartford, NY",(315) 765-0504,
Mi Casa Restaurant,"1315 Genesee Street, Utica, NY",(315) 864-3057,
Als Restaurant,"701 Elizabeth Street, Utica, NY",(315) 733-3574,
Bev's Place,"372 Oriskany Boulevard, Whitesboro, NY",(315) 736-6300,
Fianchetto,"600 Varick Street, Utica, NY",(315) 266-0012,
Blu Varick LLC,"632 Varick Street, Utica, NY",(315) 316-0362,
El Carajo Restaurant Inc,"672 Bleecker Street Floor 1, Utica, NY",(315) 732-2181,
Rollin' Bowlz LLC,"4452 Commercial Drive # D, New Hartford, NY",(315) 765-8018,
La Famiglia Restaurant,"1 Genesee Street, New Hartford, NY",(315) 732-3200,
Five Horizons Inc,"34 Oriskany Boulevard, Whitesboro, NY",(315) 736-2233,
Alfredo's Banquet-Restaurant,"8360 Seneca Turnpike, New Hartford, NY",(315) 734-9837,
Medino's Restaurant,"707 Albany Street, Utica, NY",(315) 724-0384,
Trackside Restaurant,"321 Main Street, Utica, NY",(315) 316-0228,
Oliveri's Pizzaria,"939 Arthur Street, Utica, NY",(315) 534-6884,
Cleats,"16 Main Street, Whitesboro, NY",(315) 768-4264,
Jeanette's Lunch Net,"806 Noyes Street, Utica, NY",(315) 797-1617,
"Pedro's Kitchen Salsa, Inc","4648 Commercial Drive, New Hartford, NY",(315) 404-6326,
Olive Garden Italian Restaurant,"4636 Commercial Drive, New Hartford, NY",(315) 736-2005,
Celtic Harp Restaurant & Pub,"805 Varick Street, Utica, NY",(315) 797-4277,
Pasquales Pizzeria Inc,"650 Varick Street, Utica, NY",(315) 732-7225,www.pasqualespizzeria.com
Shakeys Pizza Parlor,"458 Columbia Street, Utica, NY",(315) 793-8383,
Mello's Subs,"242 Genesee Street, Utica, NY",(315) 735-3137,
Sumo Japenese Restaurant,"4671 Commercial Drive, New Hartford, NY",(315) 768-8885,
Marcy Tavern,"6305 State Route 291, Marcy, NY",(315) 865-6090,
China Wong,"601 Oriskany Boulevard, Yorkville, NY",(315) 768-6688,
Italian Chef Inc,"652 Eagle Street, Utica, NY",(315) 797-1111,
Carmella's Cafe Inc,"8530 Seneca Turnpike, New Hartford, NY",(315) 797-3350,
69 Steakhouse ,"409 Oriskany Boulevard, Whitesboro, NY",(315) 736-7869,
Delmonico's Italian Steakhouse,"151 North Genesee Street, Utica, NY",(315) 732-6190,
Ambassador Restaurant,"537 Albany Street, Utica, NY",(315) 507-3953,
Delmonico's Italian Steakhouse,"147 North Genesee Street, Utica, NY",(315) 732-2300,
Number 1 Chinese Restaurant,"1122 Mohawk Street, Utica, NY",(315) 735-8227,www.numberonechinese.com
Mitsuba,"17 Ellinwood Drive, New Hartford, NY",(315) 768-8266,
